"","ID","gene","pathway_name"
"1","R-HSA-1059683","JAK1","Interleukin-6 signaling"
"2","R-HSA-1059683","STAT1","Interleukin-6 signaling"
"3","R-HSA-1059683","PTPN11","Interleukin-6 signaling"
"4","R-HSA-1059683","CBL","Interleukin-6 signaling"
"5","R-HSA-1059683","JAK1","Interleukin-6 signaling"
"6","R-HSA-1059683","SOCS3","Interleukin-6 signaling"
"7","R-HSA-1059683","JAK2","Interleukin-6 signaling"
"8","R-HSA-1059683","TYK2","Interleukin-6 signaling"
"9","R-HSA-1059683","TYK2","Interleukin-6 signaling"
"10","R-HSA-1059683","JAK2","Interleukin-6 signaling"
"11","R-HSA-1059683","STAT3","Interleukin-6 signaling"
"12","R-HSA-1059683","IL6ST","Interleukin-6 signaling"
"13","R-HSA-1059683","IL6","Interleukin-6 signaling"
"14","R-HSA-1059683","IL6ST","Interleukin-6 signaling"
"15","R-HSA-1059683","IL6R","Interleukin-6 signaling"
"3828","R-HSA-1168372","PSMF1","Downstream signaling events of B Cell Receptor (BCR)"
"3829","R-HSA-1168372","PSMC2","Downstream signaling events of B Cell Receptor (BCR)"
"3830","R-HSA-1168372","PSMD12","Downstream signaling events of B Cell Receptor (BCR)"
"3831","R-HSA-1168372","FBXW11","Downstream signaling events of B Cell Receptor (BCR)"
"3832","R-HSA-1168372","RASGRP1","Downstream signaling events of B Cell Receptor (BCR)"
"3833","R-HSA-1168372","CALM2","Downstream signaling events of B Cell Receptor (BCR)"
"3834","R-HSA-1168372","RASGRP3","Downstream signaling events of B Cell Receptor (BCR)"
"3835","R-HSA-1168372","PPP3CA","Downstream signaling events of B Cell Receptor (BCR)"
"3836","R-HSA-1168372","PSMD3","Downstream signaling events of B Cell Receptor (BCR)"
"3837","R-HSA-1168372","RASGRP3","Downstream signaling events of B Cell Receptor (BCR)"
"3838","R-HSA-1168372","CALM3","Downstream signaling events of B Cell Receptor (BCR)"
"3839","R-HSA-1168372","FKBP1A","Downstream signaling events of B Cell Receptor (BCR)"
"3840","R-HSA-1168372","PSMB2","Downstream signaling events of B Cell Receptor (BCR)"
"3841","R-HSA-1168372","NFATC2","Downstream signaling events of B Cell Receptor (BCR)"
"3842","R-HSA-1168372","PSMC1","Downstream signaling events of B Cell Receptor (BCR)"
"3843","R-HSA-1168372","PSMB1","Downstream signaling events of B Cell Receptor (BCR)"
"3844","R-HSA-1168372","RASGRP1","Downstream signaling events of B Cell Receptor (BCR)"
"3845","R-HSA-1168372","MALT1","Downstream signaling events of B Cell Receptor (BCR)"
"3846","R-HSA-1168372","CHUK","Downstream signaling events of B Cell Receptor (BCR)"
"3847","R-HSA-1168372","PSME2","Downstream signaling events of B Cell Receptor (BCR)"
"3848","R-HSA-1168372","NFKB1","Downstream signaling events of B Cell Receptor (BCR)"
"3849","R-HSA-1168372","PPP3R1","Downstream signaling events of B Cell Receptor (BCR)"
"3850","R-HSA-1168372","RELA","Downstream signaling events of B Cell Receptor (BCR)"
"3851","R-HSA-1168372","PSMD6","Downstream signaling events of B Cell Receptor (BCR)"
"3852","R-HSA-1168372","PSMD5","Downstream signaling events of B Cell Receptor (BCR)"
"3853","R-HSA-1168372","RPS27A","Downstream signaling events of B Cell Receptor (BCR)"
"3854","R-HSA-1168372","PSMD14","Downstream signaling events of B Cell Receptor (BCR)"
"3855","R-HSA-1168372","PSMD4","Downstream signaling events of B Cell Receptor (BCR)"
"3856","R-HSA-1168372","PSMD7","Downstream signaling events of B Cell Receptor (BCR)"
"3857","R-HSA-1168372","PSMA8","Downstream signaling events of B Cell Receptor (BCR)"
"3858","R-HSA-1168372","PPP3CA","Downstream signaling events of B Cell Receptor (BCR)"
"3859","R-HSA-1168372","SKP1","Downstream signaling events of B Cell Receptor (BCR)"
"3860","R-HSA-1168372","PSMA5","Downstream signaling events of B Cell Receptor (BCR)"
"3861","R-HSA-1168372","PPIA","Downstream signaling events of B Cell Receptor (BCR)"
"3862","R-HSA-1168372","CALM3","Downstream signaling events of B Cell Receptor (BCR)"
"3863","R-HSA-1168372","UBC","Downstream signaling events of B Cell Receptor (BCR)"
"3864","R-HSA-1168372","PSME1","Downstream signaling events of B Cell Receptor (BCR)"
"3865","R-HSA-1168372","PSMD2","Downstream signaling events of B Cell Receptor (BCR)"
"3866","R-HSA-1168372","IKBKB","Downstream signaling events of B Cell Receptor (BCR)"
"3867","R-HSA-1168372","PSMD13","Downstream signaling events of B Cell Receptor (BCR)"
"3868","R-HSA-1168372","PSMC5","Downstream signaling events of B Cell Receptor (BCR)"
"3869","R-HSA-1168372","BTRC","Downstream signaling events of B Cell Receptor (BCR)"
"3870","R-HSA-1168372","PSMC4","Downstream signaling events of B Cell Receptor (BCR)"
"3871","R-HSA-1168372","PSMA7","Downstream signaling events of B Cell Receptor (BCR)"
"3872","R-HSA-1168372","PSMC3","Downstream signaling events of B Cell Receptor (BCR)"
"3873","R-HSA-1168372","UBA52","Downstream signaling events of B Cell Receptor (BCR)"
"3874","R-HSA-1168372","IKBKB","Downstream signaling events of B Cell Receptor (BCR)"
